iter	RMSE
0	10.43811692
1	10.34666225
2	10.26799223
3	10.20410443
4	10.14085414
5	10.09325788
6	10.04647483
7	10.00848006
8	9.973112452
9	9.939600546
10	9.912597822
11	9.884993687
12	9.862734056
13	9.84285623
14	9.821378276
15	9.808537745
16	9.794445395
17	9.764223475
18	9.754111733
19	9.72646318
20	9.712807045
21	9.694486098
22	9.682918458
23	9.669451096
24	9.654168738
25	9.640055577
26	9.62621521
27	9.617916753
28	9.611287168
29	9.592681408
30	9.58425178
31	9.574283608
32	9.562325531
33	9.554449746
34	9.541822033
35	9.533713558
36	9.523100684
37	9.516955628
38	9.510152906
39	9.503976148
40	9.49947357
41	9.493927711
42	9.482287875
43	9.473252647
44	9.462530134
45	9.448531249
46	9.441861163
47	9.432067786
48	9.426624703
49	9.413693714
50	9.400723853
51	9.395283816
52	9.385545186
53	9.380669469
54	9.373040248
55	9.364343438
56	9.357493782
57	9.347786948
58	9.339016108
59	9.332195247
60	9.327920101
61	9.321632331
62	9.317743934
63	9.306847461
64	9.297529092
65	9.292456368
66	9.287848948
67	9.283952262
68	9.271409433
69	9.264733497
70	9.257624701
71	9.249858497
72	9.235813959
73	9.230585861
74	9.224045798
75	9.217583415
76	9.210961867
77	9.203420799
78	9.1981868
79	9.191841952
80	9.183421947
81	9.167626098
82	9.161836949
83	9.153348031
84	9.143932941
85	9.138300209
86	9.132944562
87	9.126124426
88	9.121563956
89	9.111804677
90	9.103261746
91	9.098601314
92	9.094301163
93	9.089830126
94	9.079412678
95	9.073243973
96	9.068089344
97	9.062918319
98	9.055735593
99	9.051878077
100	9.045010363
101	9.037350957
102	9.033157409
103	9.028871042
104	9.024237273
105	9.010852585
106	9.007107879
107	8.999627486
108	8.994175278
109	8.984556531
110	8.975211437
111	8.970525076
112	8.967890435
113	8.962246714
114	8.954961298
115	8.949770818
116	8.94511805
117	8.938163943
118	8.931630514
119	8.925041558
120	8.918452218
121	8.912777328
122	8.905160696
123	8.900376893
124	8.897517845
125	8.887204892
126	8.882493338
127	8.876370902
128	8.872047354
129	8.865781351
130	8.855215453
131	8.849637948
132	8.843042045
133	8.835376581
134	8.831179631
135	8.825562477
136	8.81279417
137	8.808463535
138	8.799943848
139	8.797672961
140	8.789724409
141	8.782315492
142	8.771738915
143	8.764441815
144	8.758053713
145	8.751428358
146	8.745527246
147	8.741657677
148	8.737740607
149	8.731542785
150	8.727941651
151	8.72560078
152	8.721484959
153	8.716716654
154	8.712995987
155	8.708291047
156	8.698683258
157	8.694180213
158	8.688677688
159	8.685678065
160	8.678830603
161	8.676762853
162	8.673670851
163	8.669545805
164	8.66532583
165	8.657982982
166	8.655575026
167	8.649842938
168	8.64543364
169	8.638128762
170	8.629661565
171	8.621865532
172	8.616074747
173	8.612060066
174	8.606900345
175	8.601951697
176	8.597262372
177	8.591590162
178	8.584725722
179	8.57818505
180	8.572557491
181	8.568057083
182	8.561310212
183	8.552052086
184	8.548125007
185	8.541831001
186	8.535644748
187	8.530892381
188	8.524001068
189	8.517200555
190	8.514583538
191	8.507174383
192	8.502059018
193	8.498447921
194	8.49014448
195	8.484078441
196	8.476083168
197	8.471757244
198	8.466193792
199	8.458008632
200	8.451254427
201	8.446948883
202	8.443065562
203	8.438051135
204	8.431458371
205	8.427270655
206	8.42285283
207	8.41762963
208	8.40881376
209	8.403589687
210	8.400089655
211	8.397227223
212	8.390563421
213	8.386099182
214	8.3800958
215	8.370288288
216	8.360583976
217	8.355838868
218	8.351088136
219	8.345324334
220	8.342612651
221	8.337538019
222	8.33294181
223	8.328397234
224	8.325339375
225	8.312499828
226	8.306303214
227	8.298886536
228	8.292794515
229	8.287339728
230	8.284153982
231	8.27855899
232	8.274511672
233	8.270882784
234	8.267306209
235	8.261691401
236	8.257225727
237	8.251773068
238	8.242730149
239	8.239427904
240	8.234376742
241	8.228752122
242	8.22602914
243	8.21537747
244	8.210553593
245	8.203498453
246	8.19705812
247	8.192593659
248	8.182379247
249	8.176872058
