iter	Passed	Remaining
0	176	88084
1	205	51245
2	237	39268
3	268	33290
4	298	29502
5	326	26891
6	358	25271
7	389	23961
8	419	22889
9	451	22136
10	482	21444
11	515	20949
12	549	20572
13	581	20180
14	612	19802
15	645	19527
16	677	19245
17	709	18997
18	742	18808
19	779	18698
20	815	18591
21	851	18501
22	884	18346
23	914	18140
24	946	17985
25	978	17846
26	1010	17697
27	1039	17515
28	1072	17420
29	1108	17359
30	1139	17237
31	1169	17104
32	1200	16989
33	1232	16886
34	1264	16795
35	1297	16726
36	1329	16631
37	1358	16516
38	1390	16437
39	1421	16342
40	1454	16278
41	1486	16210
42	1516	16120
43	1544	16005
44	1576	15942
45	1607	15864
46	1638	15792
47	1667	15704
48	1699	15642
49	1729	15562
50	1758	15478
51	1786	15389
52	1815	15308
53	1846	15250
54	1875	15174
55	1904	15103
56	1932	15016
57	1966	14983
58	2000	14949
59	2031	14899
60	2063	14852
61	2097	14815
62	2135	14811
63	2170	14789
64	2211	14796
65	2243	14754
66	2275	14707
67	2308	14666
68	2341	14628
69	2373	14577
70	2403	14520
71	2435	14478
72	2469	14445
73	2506	14429
74	2536	14375
75	2571	14344
76	2605	14312
77	2638	14273
78	2672	14241
79	2703	14194
80	2737	14159
81	2771	14128
82	2804	14089
83	2839	14064
84	2872	14026
85	2906	13992
86	2941	13965
87	2973	13920
88	3009	13898
89	3043	13862
90	3075	13824
91	3108	13784
92	3145	13767
93	3181	13741
94	3215	13708
95	3247	13667
96	3278	13620
97	3309	13577
98	3342	13540
99	3376	13504
100	3410	13473
101	3446	13447
102	3477	13404
103	3509	13362
104	3542	13327
105	3573	13283
106	3606	13245
107	3641	13218
108	3674	13182
109	3708	13148
110	3739	13106
111	3772	13069
112	3803	13026
113	3838	12998
114	3874	12971
115	3906	12932
116	3938	12891
117	3972	12860
118	4004	12820
119	4034	12777
120	4069	12745
121	4103	12714
122	4140	12690
123	4177	12666
124	4209	12628
125	4246	12603
126	4284	12582
127	4321	12560
128	4357	12532
129	4394	12507
130	4430	12478
131	4464	12446
132	4500	12419
133	4537	12394
134	4567	12348
135	4600	12312
136	4634	12279
137	4666	12240
138	4704	12218
139	4742	12195
140	4778	12166
141	4814	12137
142	4849	12107
143	4883	12074
144	4915	12034
145	4948	11998
146	4984	11968
147	5019	11937
148	5055	11909
149	5090	11877
150	5122	11839
151	5153	11799
152	5188	11767
153	5220	11728
154	5253	11692
155	5287	11658
156	5319	11621
157	5350	11581
158	5387	11553
159	5420	11517
160	5454	11485
161	5492	11459
162	5525	11422
163	5557	11386
164	5591	11352
165	5623	11315
166	5654	11275
167	5691	11246
168	5725	11212
169	5757	11176
170	5792	11145
171	5829	11115
172	5860	11076
173	5891	11038
174	5923	11000
175	5954	10961
176	5986	10925
177	6018	10888
178	6048	10847
179	6080	10809
180	6114	10775
181	6143	10733
182	6172	10692
183	6205	10657
184	6234	10614
185	6267	10580
186	6300	10544
187	6330	10506
188	6364	10472
189	6401	10444
190	6437	10413
191	6473	10385
192	6508	10353
193	6543	10321
194	6578	10290
195	6615	10260
196	6647	10225
197	6681	10190
198	6713	10153
199	6748	10122
200	6782	10090
201	6814	10053
202	6847	10017
203	6879	9982
204	6912	9947
205	6947	9915
206	6983	9885
207	7016	9850
208	7054	9822
209	7089	9789
210	7123	9757
211	7158	9724
212	7197	9698
213	7229	9662
214	7264	9630
215	7296	9594
216	7335	9566
217	7371	9535
218	7406	9502
219	7439	9468
220	7471	9432
221	7504	9397
222	7538	9364
223	7572	9330
224	7606	9296
225	7642	9265
226	7678	9233
227	7713	9202
228	7753	9175
229	7789	9144
230	7828	9115
231	7868	9088
232	7899	9052
233	7932	9017
234	7965	8982
235	7997	8946
236	8029	8909
237	8059	8872
238	8091	8836
239	8121	8798
240	8152	8761
241	8184	8725
242	8216	8690
243	8247	8652
244	8281	8619
245	8313	8583
246	8344	8547
247	8383	8518
248	8421	8489
249	8452	8452
250	8486	8418
251	8522	8387
252	8554	8351
253	8587	8317
254	8620	8282
255	8655	8249
256	8686	8213
257	8719	8179
258	8751	8143
259	8781	8106
260	8812	8070
261	8842	8032
262	8872	7994
263	8903	7959
264	8935	7923
265	8968	7889
266	9001	7855
267	9033	7819
268	9065	7784
269	9098	7750
270	9131	7716
271	9163	7681
272	9197	7647
273	9227	7611
274	9263	7578
275	9297	7545
276	9329	7510
277	9360	7475
278	9391	7439
279	9425	7405
280	9457	7370
281	9491	7337
282	9525	7303
283	9558	7269
284	9590	7234
285	9622	7200
286	9658	7167
287	9692	7134
288	9722	7098
289	9752	7062
290	9784	7027
291	9814	6990
292	9846	6956
293	9875	6919
294	9906	6884
295	9939	6849
296	9970	6815
297	10005	6782
298	10041	6750
299	10075	6717
300	10110	6684
301	10143	6650
302	10176	6616
303	10206	6580
304	10236	6544
305	10268	6509
306	10297	6473
307	10328	6438
308	10359	6403
309	10394	6370
310	10427	6336
311	10460	6303
312	10491	6267
313	10522	6233
314	10554	6198
315	10587	6164
316	10620	6130
317	10662	6102
318	10696	6068
319	10732	6036
320	10767	6004
321	10799	5969
322	10830	5934
323	10861	5900
324	10891	5864
325	10924	5830
326	10955	5796
327	10985	5760
328	11017	5726
329	11050	5692
330	11079	5656
331	11110	5622
332	11140	5586
333	11172	5552
334	11202	5517
335	11235	5484
336	11269	5450
337	11307	5419
338	11340	5385
339	11373	5352
340	11406	5318
341	11438	5284
